Nama Outlet,alamat,Kelas RS,Direktur,Alamat,Kode POS,MR,Kabupaten / Kota,, ,,,
RSUD Ir. Soekarno Sukoharjo,Tempat,B,"drg. Gani Suharto, Sp. KG",Jl. Dr. Muwardi No 71 Sukoharjo,3311016,ANDI,KAB. SUKOHARJO,,,"47 SETYO PUTRO, APT.",Tempat,ANDI
"RS PKU Muh.
 Sukoharjo",Tempat,C,"dr. H. Machmud Surjanto, Sp.B","Jl. Mayor Sunaryo No. 37, Sukoharjo",3311225,ANDI,KAB. SUKOHARJO,,,"AKMAL SEHAT, APT / GROGOL",Tempat,ANDI
RS Nirmala Suri,Tempat,D,"dr. Sri Pratomo, Sp.B, FinaCs, FiCS",Jl. Raya Solo Sukoharjo Km. 9 Sukoharjo,3311213,ANDI,KAB. SUKOHARJO,,,"AL FATH, APT",Tempat,ANDI
"RSUD dr. Soediran Mangun Sumarso
 Wonogiri",Tempat,B,"dr. Setyarini, M.Kes",Jl. Jend. Ahmad Yani No. 40 Wonokarto Wonogiri,3312010,ANDI,KAB. WONOGIRI,,,"AMAL SEHAT, RS/ WONOGIRI",Tempat,ANDI
RS Hermina Wonogiri,Tempat,C,"dr. Sri Hartanto, MARS",Jl. Raya Wonogiri - Ngadirojo Km. 5 Wonogiri,3312295,ANDI,KAB. WONOGIRI,,,"ASTRINI, RS / WONOGIRI",Tempat,ANDI
RS Amal Sehat,Tempat,C,dr. Rizky Mukti Sejati,Jl. Ngerjopuro RT 02 RW 03 Slogohimo Wonogiri,3312306,ANDI,KAB. WONOGIRI,,,"ASY SYIFA, KLINIK",Tempat,ANDI
RSU Muh Selogiri,Tempat,D,dr. Resita Lukitawati,Jl. Nambangan Selogiri Wonogiri,3312284,ANDI,KAB. WONOGIRI,,,"BEDODO, APT",Tempat,ANDI
RS Maguan Husada,Tempat,D,dr. Dhian Prasetyo Adhiputro,Jl. Raya praci-Giribelah Km. 6 Suci Pracimantoro Wonogiri,3312021,ANDI,KAB. WONOGIRI,,,"DR. SOEDIRAN MANGUN SUMARSO, RSUD",Tempat,ANDI
RS Mulia Hati Wonogiri,Tempat,D,dr. Ngadiyono,"Jl. RM. Said No. 08 Brumbung, Kaliancar, Selogiri, Wonogiri",3312308,ANDI,KAB. WONOGIRI,,,"GAMPING, APT",Tempat,ANDI
RSU Astrini Wonogiri,Tempat,D,"dr Pajar Sigit Nugroho,MMR",Jl. Brigjen Katamso Kaliancar Selogiri Wonogiri,3312309,ANDI,KAB. WONOGIRI,,,"GIRI HUSODO, APT.",Tempat,ANDI
RSU Fitri Candra,Tempat,D,dr. Eka Ambarwati Sutardi,"Jl. Brigjjend Katamso, Klampisan, Selogiri Wonogiri 57652",3312307,ANDI,KAB. WONOGIRI,,,"HERMINA, RS / WONOGIRI",Tempat,ANDI
RS PKU Muh. Wonogiri,Tempat,D,"dr. Dwi Handoyo, MM",Sanggrahan RT. 03 RW. 09 Giripurwo Wonogiri,3312310,ANDI,KAB. WONOGIRI,,,"K-24 AHMAD YANI, APOTEK",Tempat,ANDI
RSI Kustati,Tempat,C,"dr. S. Budi Yuwono, Sp. B",Jl. Kapt. Mulyadi No. 249 Surakarta,3372132,ANDI,KOTA SURAKARTA,,,"KIMIA FARMA , APT / SUKOHARJO",Tempat,ANDI
"RS PKU Muh.
 Sampangan",Tempat,D,"dr. Rosnedy Ariswati, M.Kes",Semanggi RT 002 RW 020 Pasar Kliwon,3372238,ANDI,KOTA SURAKARTA,,,"KUSTATI RS, APT.",Tempat,ANDI
RS Asy Syifa Sambi,Tempat,D,dr. M. Dhiyaul Mushhaf,Jl. Raya Bangak - Simo Km. 07 Sambi Boyolali,3309128,BAYU,KAB. BOYOLALI,,,"MUHAMMADIYAH, PKU / SAMPANGAN",Tempat,ANDI
RS Banyu Bening,Tempat,D,dr. Nurul Fitri Ishvari,Dk. Ngargorejo Ds. Ngargorejo Kec. Ngemplak Boyolali,3309131,BAYU,KAB. BOYOLALI,,,"MUHAMMADIYAH,PKU / SUKOHARJO",Tempat,ANDI
RS Kasih Ibu,Tempat,B,"dr. Ndarumurti Pangesti, SpPD-KEMD",Jl. Slamet Riyadi No. 404 Surakarta,3372165,BAYU,KOTA SURAKARTA,,,"MUJARAB, APT.",Tempat,ANDI
RSUP Soeradji Tirtonegoro Klaten,Tempat,A,"dr. Endang Widyaswati, M.Kes.",Jl. Dr. RT.Soeradji Tirtonegoro No.1 Klaten,3310015,NINTO,KAB. KLATEN,,,"MULIA HATI, RS",Tempat,ANDI
"RSJD dr. RM.
 Soedjarwadi Klaten",Tempat,A,"dr. Tri Kuncoro, M.M.R","Jl. KRT. Dr. Soeradji Tirtonegoro No.1, Klaten",3310026,NINTO,KAB. KLATEN,,,"NIRMALA SURI, RS.",Tempat,ANDI
RSUD Bagas Waras Klaten,Tempat,C,"dr. Limawan Budiwibowo,M.Kes",Jalan Ir. Soekarno Km 2 Buntalan Klaten,3310421,NINTO,KAB. KLATEN,,,"NURANI, APT",Tempat,ANDI
RSI Klaten,Tempat,B,"dr. H. Sutrisno, M.Kes",Jl. Raya Klaten-Solo Km. 4 Klaten,3310384,NINTO,KAB. KLATEN,,,"PKU MUHAMMADIYAH WONOGIRI, RS",Tempat,ANDI
