Nama Produk,Komposisi,Indikasi,Kemasan,Isi,Satuan,Jkn,Harga Hna,Lampiran Brosur
ALBAPURE 20% 100ML,Human Albumin 20%  100ml,"•Keadaan syok karena kehilangan darah dan plasma, infeksi
•Defisiensi volume plasma sebelum, selama dan setelah
operasi
•Defisiensi albumin karena luka bakar, sirosis hati, sindrom
nefrotik, gagal hati, gangguan sistem pencernaan
•Edema serebral, ARDS, toksisitas gestational
•Plasma exchangeisiensi albumin.",Botol,1,1650000,1300000,1650000,
ALBUMINAR 25% 100ML,HUMAN ALBUMIN 25% 100ML,"•Keadaan syok karena kehilangan darah dan plasma, infeksi
•Defisiensi volume plasma sebelum, selama dan setelah
operasi
•Defisiensi albumin karena luka bakar, sirosis hati, sindrom
nefrotik, gagal hati, gangguan sistem pencernaan
•Edema serebral, ARDS, toksisitas gestational
•Plasma exchangeisiensi albumin.",VIAL,1,2100000,1825000,2100000,
ALVEOFACT,SURFACTANT 54 MG,Alveofact diindikasikan untuk pengobatan sindrom gangguan pernapasan (RDS) pada neonatus.,VIAL,1,5250000,,5250000,
BERIATE 1000 IU,FACTOR VIII,Terapi dan profilaksis perdarahan pada pasien dengan hemofilia A (defisiensi faktor VIII bawaan).,VIAL,1,4000000,3010000,4000000,
BERIATE 500 IU,FACTOR VIII,Terapi dan profilaksis perdarahan pada pasien dengan hemofilia A (defisiensi faktor VIII bawaan).,VIAL,1,2400000,1590000,2400000,
BERIPLAST P COMBISET 1 ML,FIBRIN SEALENT SET (FIBRINOGEN) 1ML,"Beriplast P Combi-Set adalah lem fibrin (fibrin sealant) berbasis plasma manusia yang digunakan dalam pembedahan untuk menghentikan perdarahan (hemostasis) ketika metode konvensional tidak efektif. Obat ini bekerja dengan membentuk bekuan darah alami menggunakan faktor pembekuan, yaitu fibrinogen dan trombin, yang membantu penyembuhan luka bedah. ",VIAL,1,3800000,,3800000,
BERIPLAST P COMBISET 3 ML,FIBRIN SEALENT SET (FIBRINOGEN) 3ML,"Beriplast P Combi-Set adalah lem fibrin (fibrin sealant) berbasis plasma manusia yang digunakan dalam pembedahan untuk menghentikan perdarahan (hemostasis) ketika metode konvensional tidak efektif. Obat ini bekerja dengan membentuk bekuan darah alami menggunakan faktor pembekuan, yaitu fibrinogen dan trombin, yang membantu penyembuhan luka bedah. ",VIAL,1,7000000,,7000000,
"BRIXA 2,5 MG",APIXABAN 2.5 MG,"1. Pencegahan strok: fibrilasi atrium non-valvular
2. Pengobatan kejadian tromboemboli vena
3. Pencegahan kejadian tromboemboli vena",TAB,30,12500,,375000,
BRIXA 5 MG,APIXABAN 5 MG,"Apixaban adalah obat untuk mencegah serta mengobati gumpalan darah yang menyumbat aliran darah dan menimbulkan gangguan kesehatan, seperti deep vein thrombosis (DVT) atau emboli paru. Obat ini juga dapat digunakan untuk menurunkan risiko terjadinya stroke atau emboli akibat atrial fibrilasi.",TAB,30,12500,,375000,
CEFRATAM 1G,SULBACTAM500MG + SEFERAZON 500MG,"Terapi Tunggal
Cefratam diindikasikan untuk pengobatan infeksi berikut, ketika disebabkan oleh organisme yang sensitif:

Infeksi saluran pernapasan atas dan bawah
Infeksi saluran kemih atas dan bawah
Peritonitis, cholecystitis, cholangitis, dan infeksi intraabdomen lainnya
Infeksi kulit dan jaringan lunak",VIAL,1,225000,,225000,
